,Species,eBird Link,Info
147,Black Francolin,/species/blkfra/IN-PB-SH,"Strikingly patterned male is unmistakable with his jet-black face and breast, white cheek patch, dark rust-brown collar, and bright white spots. Brownish female has a small orange nape patch, pale throat, and dense black-and-white markings all over the body; compare with larger Gray Francolin. Occurs in dry grasslands, agricultural land, and weedy fields. Shier than other francolins; more often heard than seen. Usually solitary or in pairs. Male call is a peculiar, metallic-sounding “keek, keek, kek-ke-kek.” Native to Asia, from Turkey east to far eastern India and northern Myanmar; introduced to Hawaii."
148,Large Gray Babbler,/species/lagbab2/IN-PB-SH,"Large gray-brown babbler with piercing yellow eyes. Can be confused with Jungle Babbler, with which it sometimes associates; look for strong dark lores and a darker bill. Favors scrubby areas, forest edge, and open dry forests. Like many other related babblers, typically hops around on the ground in flocks. Chatters persistently; the most common call is a loud, nasal “kaaa-kaaa-kaaa”."
149,Peregrine Falcon,/species/perfal/IN-PB-SH,"Sleek, fast-flying large falcon. Always look for a grayish back in adults, long wings that almost reach the tail tip, and powerful but slender build. Dark mark below each eye varies in shape and size. Juveniles are more heavily patterned below than adults, and can be quite brownish above. Patterning varies considerably across a wide global range, with back color ranging from pale gray in Central Asian “Red-capped” to slaty-blue across much of northern Eurasia North America, to almost black in Asian “Shaheen.” Chases prey down at high speeds with continuous powerful wingbeats. Becoming increasingly common in parts of range, especially in cities, where they can nest on tall buildings and feed on pigeons. Adaptable, and can be seen in a wide range of habitats; often encountered in areas with steep cliffs, as well as around coastal mudflats and open areas with shorebirds."
150,Yellow-eyed Babbler,/species/yeebab1/IN-PB-SH,"An odd-looking babbler which looks and behaves like a prinia on steroids. Brown above and white below with rufous wingtips. Red eyering is unique. Scrambles about in reedbeds, scrub, field edges, and grassy meadows in small flocks and pairs. Scales stems like a parrotbill and hangs acrobatically like a tit or leaf warbler. Strident, melodic song has a somewhat hoarse, nasal quality. Calls include repeated descending whistles, energetic chattering, and dry chittering."
151,Dusky Crag-Martin,/species/duscrm1/IN-PB-SH,"An overall dark brown swallow with paler underparts. It has a square tail with a white spot on each tail feather, making a white speckled band of sorts. Young birds have paler underparts. Mostly seen flying in pairs or small flocks along cliffs, but sometimes also near tall buildings. Flight action generally slower than Barn Swallow’s, but can wheel and loop at quick speed."
152,Plum-headed Parakeet,/species/plhpar1/IN-PB-SH,"A brilliantly-colored parakeet; males have a plum-colored head while females have grayish-blue head. Endemic to the Indian subcontinent where it can occur in any well-wooded area outside NE India and the high Himalayas. Similar to the largely non-overlapping Blossom-headed Parakeet, but shows a darker shade of plum or gray on the head and a white-tipped tail (not yellow). They also lack the red shoulder patch seen on Blossom-headed females. A yellow upper bill separates it from all overlapping parakeets. Call is a distinctive, short, and high-pitched “tui.”"
153,Ashy-crowned Sparrow-Lark,/species/ascspl1/IN-PB-SH,"A small, stocky bird with a heavy, finch-like bill. Males have a gray head that contrasts with a black eye-stripe, and black on the collar, throat, and underparts. Females are pale brown with weak streaks on the head, back, and underparts. Similar to Black-crowned Sparrow-Lark, but Ashy-crowned males are told apart by the gray on the head. Females are difficult to distinguish. Inhabits dry scrub, fields, and rocky country. The song is often given in display flight, and consists of monotone whistles interspersed with buzzy notes."
154,Sulphur-bellied Warbler,/species/subwar2/IN-PB-SH,"Brown-and-yellow leaf warbler without a wingbar. Breeds in stony, bushy, semi-arid slopes in mountain ranges flanking the Tibetan Plateau. Winters primarily in rocky scrub almost throughout the Indian peninsula. Resembles Tickell’s Leaf Warbler, but has a browner cheek and dirtier underparts, and often has a bright yellow eyebrow that contrasts with a dull brownish-yellow throat. Very partial to the ground, unlike Tickell’s, and often seen creeping on rocks, walls, or tree trunks like a nuthatch."
155,Tickell's Blue Flycatcher,/species/tibfly3/IN-PB-SH,"Attractive medium-sized flycatcher with blue upperparts and orange-and-white underparts, with the most orange on the chest and the throat. Male is more intensely-colored overall than the female. Smaller-billed profile, less extensive orange, and paler face distinguish this species from male Hill Blue Flycatcher. Extensive orange on the throat separates Tickell’s from Blue-throated Flycatcher. Favors open hill forests as well as forest edge, particularly in drier, scrubby areas, often close to water. Both sexes give a pleasant high-pitched tinkling song. Calls include dry rattles and metallic clinks."
156,Osprey,/species/osprey/IN-PB-SH,"Large, mostly white raptor that cruises over lakes, rivers, and coastal waterways in search of fish. Impressively widespread: found on every continent except Antarctica. Mostly white head and underparts; dark brown back. In flight, holds wings with a kink in the wrist (shaped like an ""M""). Stick nests are conspicuous on top of channel markers, utility poles and high platforms near water. Often seen plunging feet-first into water from high in the air to grab fish."
157,Imperial Eagle,/species/impeag1/IN-PB-SH,"Very large; dark-brown body of adult contrasts with pale head and nape. Similar to Golden Eagle but with a shorter tail and white shoulders that can be hard to spot. The underwings are dark with low contrast. Immatures are strikingly different, sandy brown with prominent streaks and a pale rump contrasting with the dark tail and dark flight feathers. Breeds in forested areas intermixed with steppes and agricultural areas, where often seen perched on pylons. Winters in open habitats, including cropland."
158,Brown-capped Pygmy Woodpecker,/species/bncwoo3/IN-PB-SH,"Small woodpecker of open forest and forest edge. Note size, pale eyes, and broad-striped head pattern. Darkness of the crown varies; palest in northern and peninsular India and darkest in Sri Lanka. Where it overlaps with Gray-capped Woodpecker, note the more “blocky” head pattern, pale eyes, and white-spotted tail of Brown-capped. Gives a short chittering trill that rises and falls quickly."
159,Black Stork,/species/blasto1/IN-PB-SH,"Adult distinctive: glossy black overall with white belly, very long pointed red bill and reddish legs. Juvenile similar, but duller overall. Breeds in swampy coniferous and mixed forests, where rather shy; builds a bulky stick nest high in trees. In mountainous regions also nests on cliffs. Wintering and migrating birds can be found in grasslands, agricultural fields, and on the margins of lakes and rivers. Flies with neck and legs outstretched, and strong, deep wingbeats interspersed with glides; also soars on thermals."
